Site,Station,Region,Region2,Fjord,Fjord2,In/Out,Date,Time ,Depth [m],Volume [L],Latitude,Longitude,temperature [∞C],salinity [psu],density,O2umol.l,O sat. [%],Attenuation (optical beam transmission),Fluorometer,salinity [psu],PO4_umol.l,Si_umol.l,NO2_umol.l,NO3_umol.l,NH4_umol.l,Glacial influence,Bioclimatic_subzone
HE533.Prok.F02.25A_S89,HE533.F02.25A,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,1,03.06.2019,08:00,0-40 pooled,12,70.5119,28.0784,4.31,33.04,26.2,321,98.43,93.16,0.52,33.04,0.24,5.16,0.1,3.19,0.8,No,subarctic
HE533.Prok.F02.25B_S90,HE533.F02.25B,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,1,03.06.2019,08:00,0-40 pooled,12,70.5119,28.0784,4.31,33.04,26.2,321,98.43,93.16,0.52,33.04,0.24,5.16,0.1,3.19,0.8,No,subarctic
HE533.Prok.F02.25C_S91,HE533.F02.25C,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,1,03.06.2019,08:00,0-40 pooled,12,70.5119,28.0784,4.31,33.04,26.2,321,98.43,93.16,0.52,33.04,0.24,5.16,0.1,3.19,0.8,No,subarctic
HE533.Prok.F02.26A_S93,HE533.F02.26A,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,03.06.2019,18:00,0-40 pooled,12,70.7005,28.4502,4.32,33.81,26.81,319.63,98.53,93.8,0.62,33.81,0.27,3.98,0.11,3.24,0.68,No,subarctic
HE533.Prok.F02.26B_S94,HE533.F02.26B,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,03.06.2019,18:00,0-40 pooled,12,70.7005,28.4502,4.32,33.81,26.81,319.63,98.53,93.8,0.62,33.81,0.27,3.98,0.11,3.24,0.68,No,subarctic
HE533.Prok.F02.26C_S95,HE533.F02.26C,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,03.06.2019,18:00,0-40 pooled,12,70.7005,28.4502,4.32,33.81,26.81,319.63,98.53,93.8,0.62,33.81,0.27,3.98,0.11,3.24,0.68,No,subarctic
HE533.Prok.F02.27A_S97,HE533.F02.27A,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,04.06.2019,08:00,0-40 pooled,12,70.8681,28.7054,4.68,33.72,26.7,321.61,99.95,93.88,0.52,33.72,0.34,3.26,0.12,3.32,1.09,No,subarctic
HE533.Prok.F02.27B_S98,HE533.F02.27B,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,04.06.2019,08:00,0-40 pooled,12,70.8681,28.7054,4.68,33.72,26.7,321.61,99.95,93.88,0.52,33.72,0.34,3.26,0.12,3.32,1.09,No,subarctic
HE533.Prok.F02.27C_S99,HE533.F02.27C,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,3,04.06.2019,08:00,0-40 pooled,12,70.8681,28.7054,4.68,33.72,26.7,321.61,99.95,93.88,0.52,33.72,0.34,3.26,0.12,3.32,1.09,No,subarctic
HE533.Prok.F02.28A_S101,HE533.F02.28A,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,0,04.06.2019,12:00,0-40 pooled,12,71.0284,28.8202,5.32,34.23,27.03,327.55,103.74,92.29,1.67,34.23,0.26,2.1,0.14,3.18,0.69,No,subarctic
HE533.Prok.F02.28B_S102,HE533.F02.28B,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,0,04.06.2019,12:00,0-40 pooled,12,71.0284,28.8202,5.32,34.23,27.03,327.55,103.74,92.29,1.67,34.23,0.26,2.1,0.14,3.18,0.69,No,subarctic
HE533.Prok.F02.28C_S103,HE533.F02.28C,North.Norway,North.Norway.HE533,Tanafjord,Tanafjord,0,04.06.2019,12:00,0-40 pooled,12,71.0284,28.8202,5.32,34.23,27.03,327.55,103.74,92.29,1.67,34.23,0.26,2.1,0.14,3.18,0.69,No,subarctic
HE533.Prok.F02.21A_S77,HE533.F02.21A,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,08:00,0-40 pooled,12,70.4729,26.6765,3.16,33.97,27.01,323.44,97.91,95.65,0.32,33.97,0.25,1.22,0.09,2.64,0.63,No,subarctic
HE533.Prok.F02.21B_S78,HE533.F02.21B,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,08:00,0-40 pooled,12,70.4729,26.6765,3.16,33.97,27.01,323.44,97.91,95.65,0.32,33.97,0.25,1.22,0.09,2.64,0.63,No,subarctic
HE533.Prok.F02.21C_S79,HE533.F02.21C,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,08:00,0-40 pooled,12,70.4729,26.6765,3.16,33.97,27.01,323.44,97.91,95.65,0.32,33.97,0.25,1.22,0.09,2.64,0.63,No,subarctic
HE533.Prok.F02.22A_S81,HE533.F02.22A,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,13:00,0-40 pooled,12,70.6751,26.7865,4.1,33.76,26.79,339.86,104.17,93.06,0.83,33.76,0.19,0.55,0.05,1.34,0.85,No,subarctic
HE533.Prok.F02.22B_S82,HE533.F02.22B,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,13:00,0-40 pooled,12,70.6751,26.7865,4.1,33.76,26.79,339.86,104.17,93.06,0.83,33.76,0.19,0.55,0.05,1.34,0.85,No,subarctic
HE533.Prok.F02.22C_S83,HE533.F02.22C,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,01.06.2019,13:00,0-40 pooled,12,70.6751,26.7865,4.1,33.76,26.79,339.86,104.17,93.06,0.83,33.76,0.19,0.55,0.05,1.34,0.85,No,subarctic
HE533.Prok.F02.23A_S85,HE533.F02.23A,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,02.06.2019,03:00,0-40 pooled,12,70.8592,27.2751,4.09,33.76,26.79,335.55,102.81,93.46,0.99,33.76,0.17,0.94,0.05,1.33,0.63,No,subarctic
HE533.Prok.F02.23B_S86,HE533.F02.23B,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,02.06.2019,03:00,0-40 pooled,12,70.8592,27.2751,4.09,33.76,26.79,335.55,102.81,93.46,0.99,33.76,0.17,0.94,0.05,1.33,0.63,No,subarctic
HE533.Prok.F02.23C_S87,HE533.F02.23C,North.Norway,North.Norway.HE533,Laksefjord,Laksefjord,3,02.06.2019,03:00,0-40 pooled,12,70.8592,27.2751,4.09,33.76,26.79,335.55,102.81,93.46,0.99,33.76,0.17,0.94,0.05,1.33,0.63,No,subarctic
HE533.Prok.F02.17A_S61,HE533.F02.17A,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,1,30.05.2019,08:00,0-40 pooled,12,70.2668,25.1665,2.85,33.41,26.63,338.44,100.35,89,3.7,33.41,0.21,1.75,0.06,2.11,0.36,No,subarctic
HE533.Prok.F02.17B_S62,HE533.F02.17B,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,1,30.05.2019,08:00,0-40 pooled,12,70.2668,25.1665,2.85,33.41,26.63,338.44,100.35,89,3.7,33.41,0.21,1.75,0.06,2.11,0.36,No,subarctic
HE533.Prok.F02.17C_S63,HE533.F02.17C,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,1,30.05.2019,08:00,0-40 pooled,12,70.2668,25.1665,2.85,33.41,26.63,338.44,100.35,89,3.7,33.41,0.21,1.75,0.06,2.11,0.36,No,subarctic
HE533.Prok.F02.18A_S65,HE533.F02.18A,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,30.05.2019,13:00,0-40 pooled,12,70.5125,25.4622,3.55,33.69,26.79,347.14,104.89,94.16,1.26,33.69,0.21,8.49,0.06,2.3,0.91,No,subarctic
HE533.Prok.F02.18B_S66,HE533.F02.18B,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,30.05.2019,13:00,0-40 pooled,12,70.5125,25.4622,3.55,33.69,26.79,347.14,104.89,94.16,1.26,33.69,0.21,8.49,0.06,2.3,0.91,No,subarctic
HE533.Prok.F02.18C_S67,HE533.F02.18C,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,30.05.2019,13:00,0-40 pooled,12,70.5125,25.4622,3.55,33.69,26.79,347.14,104.89,94.16,1.26,33.69,0.21,8.49,0.06,2.3,0.91,No,subarctic
HE533.Prok.F02.19A_S69,HE533.F02.19A,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,31.05.2019,08:00,0-40 pooled,12,70.7384,25.9076,4.41,33.61,26.64,333.39,102.86,94.02,0.56,33.61,0.18,1.14,0.05,1.7,0.84,No,subarctic
HE533.Prok.F02.19B_S70,HE533.F02.19B,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,31.05.2019,08:00,0-40 pooled,12,70.7384,25.9076,4.41,33.61,26.64,333.39,102.86,94.02,0.56,33.61,0.18,1.14,0.05,1.7,0.84,No,subarctic
HE533.Prok.F02.19C_S71,HE533.F02.19C,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,3,31.05.2019,08:00,0-40 pooled,12,70.7384,25.9076,4.41,33.61,26.64,333.39,102.86,94.02,0.56,33.61,0.18,1.14,0.05,1.7,0.84,No,subarctic
HE533.Prok.F02.20A_S73,HE533.F02.20A,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,0,31.05.2019,13:00,0-40 pooled,12,70.9216,26.2514,4.72,33.99,26.9,330.87,103.12,93.48,0.83,33.99,0.18,1.62,0.06,1.84,0.69,No,subarctic
HE533.Prok.F02.20B_S74,HE533.F02.20B,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,0,31.05.2019,13:00,0-40 pooled,12,70.9216,26.2514,4.72,33.99,26.9,330.87,103.12,93.48,0.83,33.99,0.18,1.62,0.06,1.84,0.69,No,subarctic
HE533.Prok.F02.20C_S75,HE533.F02.20C,North.Norway,North.Norway.HE533,Porsangerfjord,Porsangerfjord,0,31.05.2019,13:00,0-40 pooled,12,70.9216,26.2514,4.72,33.99,26.9,330.87,103.12,93.48,0.83,33.99,0.18,1.62,0.06,1.84,0.69,No,subarctic
HE533.Prok.F02.11A_S37,HE533.F02.11A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,0,27.05.2019,08:00,0-40 pooled,12,70.2858,19.4151,5.71,34.28,27.02,309.73,99.05,92.88,0.94,34.28,0.34,2.14,0.15,3.76,0.48,No,subarctic
HE533.Prok.F02.11B_S38,HE533.F02.11B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,0,27.05.2019,08:00,0-40 pooled,12,70.2858,19.4151,5.71,34.28,27.02,309.73,99.05,92.88,0.94,34.28,0.34,2.14,0.15,3.76,0.48,No,subarctic
HE533.Prok.F02.11C_S39,HE533.F02.11C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,0,27.05.2019,08:00,0-40 pooled,12,70.2858,19.4151,5.71,34.28,27.02,309.73,99.05,92.88,0.94,34.28,0.34,2.14,0.15,3.76,0.48,No,subarctic
HE533.Prok.F02.12A_S41,HE533.F02.12A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,13:00,0-40 pooled,12,70.0965,19.6279,5.72,33.95,26.76,333.77,106.55,86.18,2.12,33.95,0.36,2.06,0.09,3.04,0.51,No,subarctic
HE533.Prok.F02.12B_S42,HE533.F02.12B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,13:00,0-40 pooled,12,70.0965,19.6279,5.72,33.95,26.76,333.77,106.55,86.18,2.12,33.95,0.36,2.06,0.09,3.04,0.51,No,subarctic
HE533.Prok.F02.12C_S43,HE533.F02.12C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,13:00,0-40 pooled,12,70.0965,19.6279,5.72,33.95,26.76,333.77,106.55,86.18,2.12,33.95,0.36,2.06,0.09,3.04,0.51,No,subarctic
HE533.Prok.F02.13A_S45,HE533.F02.13A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,18:00,0-40 pooled,12,70.0748,20.1181,5.89,34.11,26.86,327.38,105.03,88.25,2.5,34.11,0.25,1.55,0.08,1.96,0.25,No,subarctic
HE533.Prok.F02.13B_S46,HE533.F02.13B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,18:00,0-40 pooled,12,70.0748,20.1181,5.89,34.11,26.86,327.38,105.03,88.25,2.5,34.11,0.25,1.55,0.08,1.96,0.25,No,subarctic
HE533.Prok.F02.13C_S47,HE533.F02.13C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,27.05.2019,18:00,0-40 pooled,12,70.0748,20.1181,5.89,34.11,26.86,327.38,105.03,88.25,2.5,34.11,0.25,1.55,0.08,1.96,0.25,No,subarctic
HE533.Prok.F02.14A_S49,HE533.F02.14A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,1,28.05.2019,08:00,0-40 pooled,12,69.3617,20.0709,5.33,32.86,25.94,288.16,90.59,91.9,0.63,32.86,0.38,4.12,0.07,4.6,0.22,No,subarctic
HE533.Prok.F02.14B_S50,HE533.F02.14B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,1,28.05.2019,08:00,0-40 pooled,12,69.3617,20.0709,5.33,32.86,25.94,288.16,90.59,91.9,0.63,32.86,0.38,4.12,0.07,4.6,0.22,No,subarctic
HE533.Prok.F02.14C_S51,HE533.F02.14C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,1,28.05.2019,08:00,0-40 pooled,12,69.3617,20.0709,5.33,32.86,25.94,288.16,90.59,91.9,0.63,32.86,0.38,4.12,0.07,4.6,0.22,No,subarctic
HE533.Prok.F02.15A_S53,HE533.F02.15A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,13:00,0-40 pooled,12,69.5947,20.346,4.94,33.94,26.4,322.1,100.57,93,1.08,33.94,0.39,2.29,0.07,3.16,0.48,No,subarctic
HE533.Prok.F02.15B_S54,HE533.F02.15B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,13:00,0-40 pooled,12,69.5947,20.346,4.94,33.94,26.4,322.1,100.57,93,1.08,33.94,0.39,2.29,0.07,3.16,0.48,No,subarctic
HE533.Prok.F02.15C_S55,HE533.F02.15C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,13:00,0-40 pooled,12,69.5947,20.346,4.94,33.94,26.4,322.1,100.57,93,1.08,33.94,0.39,2.29,0.07,3.16,0.48,No,subarctic
HE533.Prok.F02.16A_S57,HE533.F02.16A,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,18:00,0-40 pooled,12,69.8249,20.462,4.87,33.4,26.42,326.97,101.94,93.15,0.83,33.4,0.29,1.58,0.06,2.31,0.57,No,subarctic
HE533.Prok.F02.16B_S58,HE533.F02.16B,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,18:00,0-40 pooled,12,69.8249,20.462,4.87,33.4,26.42,326.97,101.94,93.15,0.83,33.4,0.29,1.58,0.06,2.31,0.57,No,subarctic
HE533.Prok.F02.16C_S59,HE533.F02.16C,North.Norway,North.Norway.HE533,Lyngenfjord,Lyngenfjord,3,28.05.2019,18:00,0-40 pooled,12,69.8249,20.462,4.87,33.4,26.42,326.97,101.94,93.15,0.83,33.4,0.29,1.58,0.06,2.31,0.57,No,subarctic
HE533.Prok.F02.10A_S33,HE533.F02.10A,North.Norway,North.Norway.HE533,Balsfjord,Balsfjord,3,26.05.2019,14:00,0-40 pooled,12,69.428,19.0239,5.28,32.7,25.82,335.44,105.26,74.16,7.84,32.7,0.23,3.39,0.07,2.13,0.22,No,subarctic
