;HE492_100_S90;HE492_104_S78;HE492_108_S66;HE492_110_S54;HE492_12_S63;HE492_16_S51;HE492_20_S40;HE492_24_S29;HE492_28_S18;HE492_3_S87;HE492_32_S8;HE492_36_S88;HE492_40_S76;HE492_44_S64;HE492_48_S52;HE492_52_S41;HE492_56_S30;HE492_60_S19;HE492_64_S9;HE492_68_S89;HE492_72_S77;HE492_76_S65;HE492_8_S75;HE492_88_S31;HE492_92_S20;HE492_96_S10;MSM56.Prok.F02.553_S40;MSM56.Prok.F02.554_S41;MSM56.Prok.F02.555_S42;MSM56.Prok.F02.556_S43;MSM56.Prok.F02.557_S44;MSM56.Prok.F02.558_S45;MSM56.Prok.F02.559_S46;MSM56.Prok.F02.560_S47;MSM56.Prok.F02.580_S59;MSM56.Prok.F02.582_S60;MSM56.Prok.F02.590_S61;MSM56.Prok.F02.595_S62;MSM21.Prok.F02.503_S29;MSM21.Prok.F02.511_S30;MSM21.Prok.F02.512_S31;MSM21.Prok.F02.514_S32;MSM21.Prok.F02.515_S33;MSM21.Prok.F02.516_S34;MSM21.Prok.F02.527_S35;MSM21.Prok.F02.530_S36;MSM21.Prok.F02.532_S37;MSM21.Prok.F02.540_S38;MSM21.Prok.F02.541_S39;HE431.Prok.F02.02_S2;HE431.Prok.F02.03_S3;HE431.Prok.F02.04_S4;HE431.Prok.F02.05_S5;HE431.Prok.F02.06_S6;HE431.Prok.F02.07_S7;HE431.Prok.F02.08_S8;HE431.Prok.F02.09_S9;HE431.Prok.F02.13_S10;HE431.Prok.F02.14_S11;HE431.Prok.F02.15_S12;HE431.Prok.F02.16_S13;HE431.Prok.F02.17_S14;HE431.Prok.F02.18_S15;HE431.Prok.F02.19_S16;HE431.Prok.F02.20_S17;HE431.Prok.F02.21_S18;HE431.Prok.F02.22_S19;HE431.Prok.F02.23_S20;HE431.Prok.F02.24_S21;HE431.Prok.F02.25_S22;HE431.Prok.F02.26_S23;HE431.Prok.F02.27_S24;HE431.Prok.F02.28_S25;HE431.Prok.F02.29_S26;HE431.Prok.F02.30_S27;HE431.Prok.F02.31_S28;HE533.Prok.F02.10A_S33;HE533.Prok.F02.10B_S22;HE533.Prok.F02.10C_S35;HE533.Prok.F02.11A_S37;HE533.Prok.F02.11B_S38;HE533.Prok.F02.11C_S39;HE533.Prok.F02.12A_S41;HE533.Prok.F02.12B_S42;HE533.Prok.F02.12C_S43;HE533.Prok.F02.13A_S45;HE533.Prok.F02.13B_S46;HE533.Prok.F02.13C_S47;HE533.Prok.F02.14A_S49;HE533.Prok.F02.14B_S50;HE533.Prok.F02.14C_S51;HE533.Prok.F02.15A_S53;HE533.Prok.F02.15B_S54;HE533.Prok.F02.15C_S55;HE533.Prok.F02.16A_S57;HE533.Prok.F02.16B_S58;HE533.Prok.F02.16C_S59;HE533.Prok.F02.17A_S61;HE533.Prok.F02.17B_S62;HE533.Prok.F02.17C_S63;HE533.Prok.F02.18A_S65;HE533.Prok.F02.18B_S66;HE533.Prok.F02.18C_S67;HE533.Prok.F02.19A_S69;HE533.Prok.F02.19B_S70;HE533.Prok.F02.19C_S71;HE533.Prok.F02.20A_S73;HE533.Prok.F02.20B_S74;HE533.Prok.F02.20C_S75;HE533.Prok.F02.21A_S77;HE533.Prok.F02.21B_S78;HE533.Prok.F02.21C_S79;HE533.Prok.F02.22A_S81;HE533.Prok.F02.22B_S82;HE533.Prok.F02.22C_S83;HE533.Prok.F02.23A_S85;HE533.Prok.F02.23B_S86;HE533.Prok.F02.23C_S87;HE533.Prok.F02.25A_S89;HE533.Prok.F02.25B_S90;HE533.Prok.F02.25C_S91;HE533.Prok.F02.26A_S93;HE533.Prok.F02.26B_S94;HE533.Prok.F02.26C_S95;HE533.Prok.F02.27A_S97;HE533.Prok.F02.27B_S98;HE533.Prok.F02.27C_S99;HE533.Prok.F02.28A_S101;HE533.Prok.F02.28B_S102;HE533.Prok.F02.28C_S103;HE533.Prok.F02.2A_S1;HE533.Prok.F02.2B_S2;HE533.Prok.F02.2C_S3;HE533.Prok.F02.3A_S5;HE533.Prok.F02.3B_S6;HE533.Prok.F02.3C_S7;HE533.Prok.F02.4A_S9;HE533.Prok.F02.4B_S10;HE533.Prok.F02.4C_S11;HE533.Prok.F02.5A_S13;HE533.Prok.F02.5B_S14;HE533.Prok.F02.5C_S15;HE533.Prok.F02.6A_S17;HE533.Prok.F02.6B_S18;HE533.Prok.F02.6C_S19;HE533.Prok.F02.7A_S21;HE533.Prok.F02.7B_S34;HE533.Prok.F02.7C_S23;HE533.Prok.F02.8A_S25;HE533.Prok.F02.8B_S26;HE533.Prok.F02.8C_S27;HE533.Prok.F02.9A_S29;HE533.Prok.F02.9B_S30;HE533.Prok.F02.9C_S31
ASV1;16;27;8;22;7;0;14;34;9;100;19;0;5;45;18;14;9;25;20;13;25;19;40;58;56;45;1423;62;100;44;175;478;58;68;1789;2027;1735;1393;17;53;13;23;9;16;3614;569;722;0;2377;0;8;26;19;22;24;9;12;61;16;10;13;22;9;216;93;72;82;104;27;33;37;88;61;42;27;35;7873;3160;5881;13546;5124;36324;11333;4537;21757;4054;4686;62424;4173;6887;19462;2641;11172;25300;1616;10348;21074;3129;21735;21492;2364;12410;17544;2609;6396;7573;2308;2990;8514;2780;4286;12262;2814;3229;7287;2133;2744;6774;2091;1639;10555;1305;1777;6229;814;363;1065;204;1161;2228;175;22;113;193;24;349;16386;659;27560;14407;957;23660;17564;890;49772;13261;1292;55484;11058;26292;2166;13159;3217;63969
ASV2;302;468;560;698;462;946;1321;965;1211;288;1695;502;1082;777;1062;1588;1266;863;262;324;613;276;843;173;281;419;130;10345;4634;2445;1799;9104;2856;4715;1920;2873;179;282;6959;15793;2325;1200;742;482;345;301;161;3;156;5;291;752;960;619;2499;931;764;38;76;135;73;247;3;69;135;108;234;13;0;4;21;9;0;4;13;445;10445;8068;623;3396;6185;3911;6156;7811;4972;4980;7356;9070;1934;1390;1518;2787;2101;1949;4017;4081;3288;3095;2685;2434;4853;5735;5053;8119;6199;10090;7531;6117;8574;7100;5115;5590;10456;6670;7606;7303;6105;6215;11541;7724;10881;8678;6818;10279;6493;2757;2333;1535;4540;5400;6699;6356;3994;8608;7439;6055;4865;5368;4542;4856;7146;4489;2706;3190;1803;5416;6821;5470;4499;4641;6703;12163;5194;6232
ASV3;205;146;243;339;140;342;417;294;136;111;170;76;132;58;168;171;196;149;965;334;351;89;370;1125;271;276;1590;2462;964;530;350;1915;586;997;66;117;28;27;4243;2828;1390;303;2883;79;2023;904;625;0;1460;0;975;3401;1722;5863;5244;3128;3002;422;497;582;428;1465;4;859;2121;1452;2456;988;62;122;384;509;1559;930;249;393;7665;6235;1280;1011;1846;1366;5005;8659;4657;3932;5728;8692;2758;1925;2321;4153;2575;1550;2877;3015;2337;3139;2434;2046;3125;5098;4012;6361;4537;7323;9405;5762;9243;11332;8674;9396;9396;6104;6668;8183;5966;7221;9787;6682;8739;6253;4646;6927;4364;1901;1352;1762;4434;4612;5744;4482;3100;7457;7620;5764;4378;5255;3966;6310;6947;5837;2592;3260;1518;3442;5289;2570;3867;3152;5192;6747;3109;2852
ASV4;8;13;21;27;20;46;17;9;9;5;14;0;3;0;6;11;13;1;16;19;5;0;17;5;16;20;157;12;1;0;2;14;8;15;0;19;4;7;112;243;19;34;87;0;36;35;49;0;150;0;44;272;90;251;293;214;212;86;93;44;110;63;0;177;51;309;158;188;11;26;35;45;106;224;119;70;1379;306;1247;12362;2585;6914;14812;2857;12053;11293;2158;12086;2687;425;2539;2149;554;2684;1325;397;1168;180;19;115;584;92;525;1229;231;1546;1003;202;1616;3939;523;2870;6653;766;2968;10056;1670;5583;5345;530;4789;2927;396;2798;3377;249;921;558;339;1071;10413;2824;6307;11308;3169;6625;18563;4102;10603;12449;4417;12133;6459;1713;7521;8790;2247;8544;1606;1272;646;1436;141;995
ASV5;228;332;393;484;215;313;359;210;155;137;229;129;367;494;335;375;204;113;53;81;121;154;425;24;81;230;56;5442;2238;788;601;3434;1656;2776;615;746;55;153;289;458;49;899;5;358;110;152;77;0;66;0;191;740;2038;860;1744;1591;729;71;48;55;31;56;2;129;343;496;466;14;0;0;71;0;27;21;62;923;1722;1327;102;1026;1562;1040;2799;3256;2337;2014;2956;4298;1206;683;1002;1487;986;1074;1029;1315;1011;2628;2349;2003;1483;1755;1718;1445;1319;2313;1296;1276;2274;4082;3254;3878;3216;2271;2424;3939;3478;3118;3293;2261;3866;2935;2660;3436;1718;783;631;669;2114;2258;2117;2357;1117;4990;5142;3585;3440;5275;3147;2341;3316;1850;1963;1914;1301;1661;2306;1495;1997;1544;2466;3757;1500;1478
ASV6;317;135;294;299;233;343;452;952;1483;107;1165;671;1186;400;699;1217;1091;553;90;108;218;117;358;13;64;249;10;6138;2410;1463;1028;5056;1346;2229;1247;2107;151;274;5575;17697;1960;1022;175;439;38;11;9;0;6;2;25;165;76;593;75;85;275;82;7;7;4;6;0;6;4;4;5;55;2;8;0;5;0;0;0;0;401;356;182;657;796;261;2203;2093;1505;2546;1776;2823;2690;1691;2079;2026;1617;1861;2732;2867;1736;405;464;424;1339;1068;1372;3128;2804;4532;2947;2063;3008;6491;4056;4512;3327;2357;2209;3073;2114;2493;1340;944;1278;1391;913;1272;1321;357;331;714;1161;1341;779;480;510;1695;1453;1427;2713;1616;1170;1020;1340;1115;898;633;824;405;889;516;758;460;689;913;767;544
ASV7;157;74;106;141;180;359;430;494;413;154;529;205;277;98;307;269;380;160;379;359;428;154;404;47;69;201;149;7972;2755;1505;1022;4300;1316;2026;24;50;2;7;1026;4853;325;464;127;231;183;90;78;6;220;0;55;260;92;906;206;243;273;13;0;0;0;0;0;3;0;8;2;35;0;16;19;3;3;2;0;0;1841;1503;1123;275;654;343;1148;2340;1084;971;1643;2354;681;666;646;879;534;310;894;1089;704;4024;2972;2902;3374;5132;4307;7902;5235;8413;7979;5472;8104;7121;3897;4543;5519;4456;4506;4089;2641;3182;5078;3872;4596;4255;2133;3435;2660;951;729;636;1512;1412;786;602;619;1346;1191;1104;855;887;647;1262;1531;1459;349;549;185;711;1414;417;906;815;1294;985;928;704
ASV8;308;230;314;326;350;696;547;610;548;220;702;344;329;243;532;451;583;309;244;183;211;139;384;155;124;292;740;5611;2178;1160;895;4838;1338;2237;545;1163;302;421;887;432;123;586;146;313;137;195;288;0;665;2;339;958;308;3318;1274;1236;899;611;202;243;910;919;4;1400;1850;1963;2760;1755;195;789;2375;4411;14820;29031;8309;4164;1655;1350;189;520;1034;644;1807;3079;1483;1134;1684;2601;838;738;686;1677;1081;771;1334;1371;981;589;448;339;619;1014;757;1018;765;1230;1032;904;1235;1262;794;824;1027;793;831;1243;906;1061;1747;1293;1994;1295;821;1112;1055;356;282;522;932;1062;2198;2095;1517;2909;2712;2851;1386;1542;1228;1400;1944;1459;789;1085;466;1029;1928;900;1267;1090;1602;1531;1101;778
ASV9;191;274;267;293;184;345;384;483;243;82;310;74;267;239;313;401;370;110;124;113;137;155;317;336;175;298;1159;2463;1007;419;319;1366;524;1185;299;609;116;159;658;137;48;281;287;94;189;512;204;3;1004;0;383;1369;1999;2568;1549;1323;1221;408;114;118;140;169;2;214;339;660;779;237;12;77;460;51;250;101;100;355;1380;987;83;1515;1605;971;3415;3699;2576;2840;3388;4155;1425;855;1140;2061;1830;1709;1387;1647;1101;1153;1204;1027;793;807;776;1011;899;1447;1450;1179;1988;2413;1890;1899;1594;1085;1162;2037;1849;1794;2422;1594;2447;2123;1370;2366;1317;526;458;761;1803;1869;5038;4882;2836;6177;5603;4263;5875;4972;3022;3138;4681;2869;4156;3411;3399;1387;2471;2040;1814;1322;2002;1056;524;461
ASV10;5;6;6;5;13;19;0;3;7;5;16;6;0;6;5;9;11;2;3;4;7;3;7;0;5;14;4;142;20;2;19;94;24;44;22;48;9;36;26;105;24;33;8;6;1;4;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;50;426;8182;1381;4539;6811;1225;4898;5546;1046;7289;1053;142;991;570;126;637;601;217;574;195;40;171;214;42;217;201;32;192;44;9;76;73;3;40;231;29;136;701;96;404;726;119;717;199;29;235;231;19;68;34;14;32;9616;2099;5817;12237;3185;7027;21009;4459;12102;13722;5713;15177;6475;1834;7408;8335;1869;10343;1562;1640;631;46;33;64
